Unnamed: 0,searchq,date,T_flag,cart,click,seen,Unique_session_id,Unique_session_id_clicked,new_interval,Clickrate,Clickrate_total
66.0,3second,2021-09-04,6,0,2,141,3,1,2021-09-04 06:00:00,33.33,1.42
67.0,3second,2021-09-04,9,0,1,64,3,1,2021-09-04 09:00:00,33.33,1.56
68.0,3second,2021-09-04,12,0,0,0,0,0,2021-09-04 12:00:00,0.0,0.0
69.0,3second,2021-09-04,15,0,0,64,2,0,2021-09-04 15:00:00,0.0,0.0
70.0,3second,2021-09-04,18,0,1,16,1,1,2021-09-04 18:00:00,100.0,6.25
71.0,3second,2021-09-04,21,0,1,16,1,1,2021-09-04 21:00:00,100.0,6.25
72.0,3second,2021-09-05,0,0,0,144,4,0,2021-09-05 00:00:00,0.0,0.0
73.0,3second,2021-09-05,3,0,0,66,2,0,2021-09-05 03:00:00,0.0,0.0
74.0,3second,2021-09-05,6,0,5,218,5,2,2021-09-05 06:00:00,40.0,2.29
75.0,3second,2021-09-05,9,0,0,0,0,0,2021-09-05 09:00:00,0.0,0.0
76.0,3second,2021-09-05,12,0,1,96,3,1,2021-09-05 12:00:00,33.33,1.04
77.0,3second,2021-09-05,15,0,1,32,2,1,2021-09-05 15:00:00,50.0,3.12
78.0,3second,2021-09-05,18,0,1,32,1,1,2021-09-05 18:00:00,100.0,3.12
79.0,3second,2021-09-05,21,0,2,93,2,2,2021-09-05 21:00:00,100.0,2.15
80.0,3second,2021-09-06,0,0,1,37,2,1,2021-09-06 00:00:00,50.0,2.7
81.0,3second,2021-09-06,3,0,1,112,6,1,2021-09-06 03:00:00,16.67,0.89
82.0,3second,2021-09-06,6,0,0,0,0,0,2021-09-06 06:00:00,0.0,0.0
83.0,3second,2021-09-06,9,0,0,0,0,0,2021-09-06 09:00:00,0.0,0.0
84.0,3second,2021-09-06,12,0,0,0,0,0,2021-09-06 12:00:00,0.0,0.0
85.0,3second,2021-09-06,15,0,0,0,0,0,2021-09-06 15:00:00,0.0,0.0
